ID;Title;Directions;Ingredient;Image
67;Pineapple Spareribs;Cook ribs at 375 degrees until brown. Combine sugar, vinegar, water, and cornstarch in saucepan. Bring to a boil. Pour over browned ribs. Cook for 1 hour or until ribs are 10der. Add pineapple chunks and green pepper slices. Cover and cook for an additional 20 to 30 minutes.;sugar - vinegar - water - pineapple chunks, injuice - cornstarch - green pepper (optional) - ribs;https://1.bp.blogspot.com/-toH8Lv636C4/YLWU6HNGrTI/AAAAAAAAWPE/k9ZSVBP8Is8MVVSADthLOkagvTRO1f6XQCLcBGAsYHQ/s1224/Pineapple%2BPork%2BSpareribs.JPG
68;Pork Fu Man Chow;Saute onion and celery in oil. Add pork, bean sprouts and all other ingredients except peas and noodles. Simmer for 30 minutes. Add peas and simmer for 30 more minutes. Serve over noodles.;oil - onion, chopped quite large - celery, cut into large chunks - cooked pork, cubed - bean sprouts - mushroom soup or leftover pork gravy - water chestnuts, sliced - soy sauce - salt and pepper - pea pods, frozen - chinese noodles;https://www.seriouseats.com/thmb/bUqIyWOm0tphjIVzY5YlF-dHbhA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__images__20110511-pork-floss-rice-a99f4e1c744b4b508a44594c44679e4c.jpg
69;Shrimp Pineapple Fried Rice;Fry cooled rice in oil in a skillet. Add shrimp, onions and pineapple. Add soy sauce to taste.;precooked rice, cook overnight - shrimp - green onions, diced - pineapple - soy sauce;https://simshomekitchen.com/wp-content/uploads/2021/09/shrimp-pineapple-fried-rice-1.jpg
70;Sweet and Sour Pork;Cut pork into chunks. Marinade for 30 minutes in dressing made by combining: salt, soy sauce, cornstarch, and water. Drain pork and dip in a batter of coating mix, ice water, and egg. Brown in a few tablespoons of oil in a wok about 3 minutes or until brown and crisp. Remove with a slotted spoon. Add green pepper, onion, and carrot. Stir fry about 5 minutes. Add sweet and sour sauce made by combining: ketchup, brown sugar, white sugar, cinnamon, ginger, and juice of the large lemon. Stir until sauce thickens. Add pineapple chunks and the pork. Ser with hot steamed rice.;pork 10derloin, cut into chunks - salt - soy sauce - cornstarch - cold water - chicken coating mix - ice water - egg, bea10 - oil - green pepper, sliced - onion, chopped - carrot, diagonally sliced - ketchup - brown sugar - granulated sugar - cinnamon - ginger - lemon - pinapple chunks - ;https://omnivorescookbook.com/wp-content/uploads/2019/09/1908_Sweet-And-Sour-Pork_550.jpg
71;Albert's Chicken;Place chicken in casserole. Heat together remaining ingredients to make sauce. Pour sauce over chicken. Cook in electric skillet or 350 degree oven for about 1 hour.;chickens, cut in pieces - dry sherry - butter - mushrooms, sliced - lemon juice - onion, minced - parsley;https://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/e/b8/eb8f7176-fe0c-5784-b5fa-798bbf6e220e/5de89010b8739.image.jpg?resize=788%2C500
72;Avocado Chicken Melt;Using a meat mallet and a hard surface, pound the chicken to 1/4 inch thickness. Mix together the cornstarch, cumin and garlic salt. Add the chicken 1 piece at a time, dredging to coat. Mix the egg and water in a small bowl. Put the cornmeal in another small bowl. Dip the chicken first in the egg wash and then in the cornmeal, turning to coat. Heat the oil in a large frying pan until hot. Add the chicken and cook for 2 minutes on each side. Remove the chicken to a shallow baking pan. Place avocado slices over the chicken and sprinkle cheese. Bake in a preheated 350 degree oven about 15 minutes, or until a fork can be inserted with ease and the cheese is melted. Top the cheese layer with the sour cream. Sprinkle with green onion and red pepper. Garnish with cherry tomatoes and parsley.;chicken breast halves, b1d and skinned - cornstarch - ground cumin - garlic salt - egg, slightly bea10 - water - cornmeal - oil - avocado, peeled and sliced - monteray jack cheese, shredded - sour cream - green onion tops, sliced - red pepper, chopped - cherry tomatoes - parsley sprigs;https://hostthetoast.com/wp-content/uploads/2018/10/Chipotle-Chicken-Avocado-Melt-6.jpg
73;Batter Fried Chicken;Make better. Dip chicken, drain 5 to 10 minutes on rack. Fill dutch oven 1/3 full of oil, heat to 375 degrees. Cook chicken about 12 minutes. Drain on paper towels.;egg, slightly bea10 - milk - vegetable oil - flour, sifted - baking powder - seas1d salt - pepper - chicken, cut up - oil, for cooking;https://leitesculinaria.com/wp-content/uploads/2021/02/batter-fried-chicken.jpg
74;Catalina Chicken Stir Fry;Heat dressing, soy sauce and garlic powder in large skillet. Stir in chicken and completely cook, about 8 minutes. Add vegetables and cook, stirring until heated. Serve over cooked rice.;catalina french dressing - soy sauce - garlic powder - b1less, skinless chicken breast, cubed - any frozen mixed vegetable, thawed;https://assets.myfoodandfamily.com/adaptivemedia/rendition/75386.jpg?id=3039a808d374fbe371a39a257b7216e6a499bf0e&ht=428&wd=642&clid=pim
75;Chicken Breasts Florentine;Cook spinach as directed on package;leaf spinach, cut - butter, melted - skinless b1less chicken breasts, cut in 1/2 - dry bread crumbs - basil leaves - oil - shredded mozzarella cheese;https://foodtasia.com/wp-content/uploads/2021/07/chicken-florentine-square-2.jpg
76;Chicken Cashew;Skin, bone and cut chicken into bit-size pieces. Put chicken in a casserole and cook, covered, until opaque and tender. Stir several times during cooking. Add pea pods (break off ends and remove strings), onions and mushrooms;chicken breasts - pea pods, fresh or frozen - mushrooms, sliced - green onions, sliced - bamboo shoots, drained - water chestnuts, sliced - chicken boullion - soy sauce - cornstarch - sugar - pepper - salt - cashews;https://therecipecritic.com/wp-content/uploads/2021/02/cashewchicken3.jpg
77;Chicken Lo Mein;Marinate chicken in mixture of soy sauce, sherry, and cornstarch.;chicken breast, sliced and marinated - soy sauce - sherry - cornstarch - green onion, sliced - mushrooms - pea pods - red pepper, chopped - chicken boullion - linguini;https://www.jocooks.com/wp-content/uploads/2016/02/chicken-lo-mein-1.jpg
78;Chicken Paprika;Mix first 8 ingredients in a bag and shake the chicken to coat. Brown the chicken in hot oil. Place in large baking dish. Saute the garlic in oil for 1 minute. Blend in remaining ingredients. Stir and heat. Pour over chicken. Bake uncovered for 1 hour at 325 degrees.;flour - paprika - cayenne - ginger - nutmeg - basil - salt - pepper - chicken, skinned and b1d - oil - garlic, large - chicken broth - sour cream - dry sherry - worchestershire sauce;https://simply-delicious-food.com/wp-content/uploads/2022/02/Creamy-paprika-chicken-2.jpg
79;Chicken Schnitzel;On a plate combine 4 tablespoons of flour with salt and pepper. On a second plate, combine bread crumbs, paprika and garlic powder.;flour - salt - pepper - bread crumbs, dried - paprika - garlic powder - vegetable oil - chicken cutlets, pounded to 1/8 inch thick - eggs, lightly bea10 - onion - apples, cored, pared, thinly sliced - chicken broth - sauerkraut - raisins - lemons, thinly sliced;https://assets.bonappetit.com/photos/57ae1afd53e63daf11a4e26f/1:1/w_2560%2Cc_limit/chicken-schnitzel.jpg
80;Chicken with Artichoke;Dip chicken in flour, brown in oil. Place in baking dish. Put mushrooms and artichokes over chicken. Make sauce in skillet drippings with wine and onion. Pour over chicken. Cover with foil. Bake for 45 minutes at 350 degrees. Serve with rice.;chicken breast, split - chicken thighs - butter - flour - salt and pepper - mushrooms, sliced - artichokes - onion, grated - white sauterne wine;https://tmbidigitalassetsazure.blob.core.windows.net/rms3-prod/attachments/37/1200x1200/Artichoke-Chicken_EXPS_13X9BZ19_24_B10_04_5b.jpg
81;Coq au Vin;Cook pork, stirring until crisp and well browned. Lift out, set aside. Brown chicken parts, set aside. Stir in wine, broth and mustard. Add meat and chicken. Cover and simmer 35 to 40 minutes. Add cornstarch.;chicken - pork shoulder steak, cut into 1/2 inch cubes - boiling onions - mushrooms - chicken broth - dry red wine - dijon mustard - cornstarch and water - parsely, chopped;https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/2E03C8D2-5879-4F4B-A37B-3182085BD614/Derivates/0b0f8cac-d2ce-46c8-b5a7-d6ca4d50ac1c.jpg
82;Creamy Chicken Broccoli with Rice;Heat salad dressing in a large skillet. Add chicken and completely cook for about 8 minutes. Stir in broccoli and cook until heated. Add Velveeta and stir until thoroughly melted. Serve over rice.;miracle whip - b1less, skinless chicken breast, cubed - broccoli, chopped - Velveeta - rice;https://www.jocooks.com/wp-content/uploads/2018/12/chicken-broccoli-rice-casserole-1-10.jpg
83;In a Hurry Chicken Curry;Cut chicken into 1 inch cubes. Heat 2 tablespoons of oil over medium-high heat in a large skillet or wok. Add chicken and saute, stirring for about 5 minutes. Remove to side dish. Place remaining tablespoon of oil in the skillet and cook white onion, garlic and green onion until 10der. Stir in curry, ginger and cornstarch. Slowly add chicken broth;skinless b1less chicken breasts - vegetable oil - white onions, chopped - garlic, minced - green onions, sliced - curry powder - powdered sugar - cornstarch - chicken broth - broccoli florets, bite size pieces - cooking apple, cored and chopped - raisins - chopped peanuts;https://www.cookedandloved.com/wp-content/uploads/2019/08/paleo-chicken-curry-recipe-4-600x400.jpg
84;Jack Zucchini Chicken;Preheat oven to 350 degrees. Shred zucchini through the large holes of a grater, then squeeze it firmly, a handful at a time to extract much of the juice. Toss the zucchini with the green onion and set aside. Stir together the flour, chili powder and 1 teaspoon of salt and set aside.;zucchini - green onions, chopped - flour - chili powder - butter - chicken breast halves, b1d and skinned - freshly ground pepper - jack cheese;https://whitneybond.com/wp-content/uploads/2018/08/Buffalo-Chicken-Zucchini-Boats-5.jpg
85;Maryland Fried Chicken;Shake chicken with flour, salt and pepper in a plastic bag until thoroughly coated. Reserve 1 tablespoon of the flour mixture.;broiler chicken, cut up - all-purpose flour - salt - pepper - vegetable oil - water - butter - milk;https://www.seriouseats.com/thmb/XEKmMv1WBP89USmVzGD47TRqOOM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__recipes__20150108-maryland-fried-chicken-vicky-wasik-17-25a7c34e194d4b38873b10124400362d.jpg
86;Oven Fried Chicken;Mix soup, milk, onion, and parley. Dip chicken in this, then into crumbs. Bake at 400 degrees for 1 hour. Drizzle butter over chicken.;chicken parts - cream of mushroom soup - milk - onion, chopped - parsley, chopped - crushed stuffing mix - butter;https://www.allrecipes.com/thmb/3GBWY5ek7hAcQ8gOpl67-IwEai4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8841-Oven-Fried-Chicken-ddmfs-4x3-104184-1633bf02818a49f9818732cba77216c6.jpg
87;Parsley and Parmasen Baked Chicken;Marinate chicken for 4 hours in the dressing. Spoon over and turn occasionally. Drain. Reserve dressing. Combine eggs and water. Mix the rest of the ingredients in a plastic bag. Dip chicken in egg, then in crumbs and return to baking dish. Spoon dressing on top. Bake at 350 degrees for 40 to 50 minutes.;Italian salad dressing - chicken, cut up - egg - water - parmasen cheese - bread crumbs - parsley - salt - paprika - pepper;https://recipe30.com/wp-content/uploads/2016/10/chicken-parmesan-parsley-848x477.jpg
88;"Sandra's ""Tree Timmer"" Chicken";Brown chicken in marinade from artichokes. Put raw rice in bottom of large baking dish. Lay chicken on top. Add artichokes, mushrooms, onion, and hand in layers. Pour other ingredients over this. Cover and bake for 1 hour. Remove cover. Bake for another half hour or until thick and chicken is browned.;marinated artichoke hearts - chicken parts - salt, pepper, flour - sliced mushrooms - Uncle Ben's Converted Rice - slivered ham - salt - sliced onion - mashed garlic - can Italian style tomatoes - red wine - Italian seasoning - parsley;https://www.cookingclassy.com/wp-content/uploads/2021/10/baked-chicken-tenders-5.jpg
89;Saute'd Chicken Breats;Brown chicken with paprika. Cook 15 minutes. Remove to warm platter. Cook mushrooms in wine. Add bouillon, 4, and seasonings. Put rice on platter with chicken. Pour mushroom sauce over all.;chicken breasts, skinned and b1d - mushrooms, sliced - butter - wine cooler - bouillon - flour - garlic - salt - pepper - paprika - cooked rice;https://www.cookingclassy.com/wp-content/uploads/2017/08/skillet-chicken-garlic-herb-butter-sauce-4.jpg
90;Saute'd Chicken Livers;Rinse livers and drain. Shake in flour. Brown in butter a few at a time on medium high heat. Drain excess butter. Put livers in a large skillet. Add all other ingredients. Simmer about 30 minutes with the lid on. Turn of10. Uncover and cook about 15 minutes until slightly dry and sauce is thick.;chicken livers - butter - onions, minced - flour - salt and pepper - dry white wine - poultry seasoning - parsley - oregano - salt - mushrooms, sliced;https://thehappyfoodie.co.uk/wp-content/uploads/2021/08/lukes_cookbook_5_104_img-scaled.jpg
91;Spicy Singapore Wings;If using wings, remove and discard tips;chicken wings or drumettes - soy sauce - Louisiana-style hot sauce - melted butter or margarine - h1y - garlic powder - ground ginger;https://sethlui.com/wp-content/uploads/2016/06/Southwest-Tavern-0761.jpg
92;Turkey Tenderloin Supreme;Melt butter in skillet on medium high. Add turkey and onion. Cook 5 minutes, turning occasionally. Stir in soup. Reduce heat. Cover. Simmer for 20 minutes. Remove turkey to platter. Add cheese to skillet. Stir until melted. Serve over turkey and rice or noodles.;turkey breast 10derloins - butter - onion, sliced into rings - cream of chicken soup - swiss cheese, shredded - hot cooked rice or noodles;https://southern-bytes.com/wp-content/uploads/2022/11/whole-turkey-tenderloin-with-couscous-green-beans.jpg
93;Asparagus Stir-Fried;Snap asparagus at their breaking point, cut diagonally into 1 inch lengths and blanch in rapidly boiling, salted water. Heat a wok or skillet over moderately high heat, add oil and heat until very hot. Add garlic and ginger and stir-fry for several seconds. Add asparagus and stir-fry to coat with oil and heat through. Add stock, soy sauce and cornstarch and simmer for 2 to 3 minutes. Season to taste and serve.;sparagus - oil - garlic, minced - fresh ginger, minced - chicken stock - soy sauce;https://static01.nyt.com/images/2018/06/24/dining/24hotasparagus-still/hotasparagus-still-articleLarge.jpg
94;Baked Zucchini with Mushrooms;Thinly sliced mushrooms and chop onion;mushrooms, rinsed - onion - chicken broth - eggs - zucchini, shredded - fine dried bread crumbs - parmasen cheese, grated - dried oregano - pepper - green onion, minced;https://diethood.com/wp-content/uploads/2021/04/zucchini-mushroom-skillet-8.jpg
95;Bit O' Zucchini Bites;In a large skillet cook onion and garlic in butter or margarine until onion is tender but not brown. Add zucchini and stir about 2 minutes or till crisp-tender. Remove from heat.;onion, chopped - garlic, minced - butter or margarine - zucchini, shredded - eggs, slightly bea10 - monterey jack cheesed, shredded - cornmeal - cumin seed, crushed - dried oregano, crushed;https://static.onecms.io/wp-content/uploads/sites/44/2021/04/28/loaded-zucchini-bites.jpg
96;Cheesy Spinach Bake;Combine. Pour into 1 quart dish. Bake at 375 degrees for 25 minutes.;spinach - eggs, bea10 - milk - swiss cheese, shredded - white bread, cubed - green onion - parmesan cheese;https://www.cookingforkeeps.com/wp-content/uploads/2019/11/Cheesy-Baked-Spinach-Casserole-6-1.jpg
97;Company Cabbage;Melt butter. Add cabbage, garlic and 1/4 cup of water. Cover tightly, steam over low heat for 10-12 minutes. Blend next 4 ingredients. Stir into cabbage. Heat thoroughly, but do not boil. Sprinkle with seeds.;butter - cabbage, shredded - garlic, minced - sour cream - sugar - vinegar - salt - caraway seed;https://cdn.shopify.com/s/files/1/0148/1945/9126/articles/Cabbage_Rolls_for_Company_720x.jpg?v=1600811547
98;Crisp Potato Pancakes;Grate potatoes coarsely. Grate onion. Season with slat and pepper. Add bea10 egg. Form in 2 inch patties. Fry in 1/4 inch of hot oil. Serve with poached egg and salsa or sour cream and chives.;red potatoes - onion, grated - salt - pepper - egg - potatoes, unpeeled;https://tmbidigitalassetsazure.blob.core.windows.net/rms3-prod/attachments/37/1200x1200/Crispy-Potato-Pancakes_EXPS_DIYD21_31290_E04_01_6b.jpg
99;Easy Oven Baked Potatoes;Cut potatoes and onions into 1/4 inch slices. Layer in baking dish. Combine remaining ingredients. Drizzle over top.;potatoes, unpeeled - onions - butter - garlic, crushed - salt - pepper - celery seed - paprika;https://igav3-metcdn-com.global.ssl.fastly.net/content/uploads/sites/2/2016/10/24031527/potatoes.jpg
100;Eggplant Rollatini;Heat broiler pan 4 inches from heat. In a small bowl, beat egg slightly with a fork;egg, seperated - ricotta cheese - mozzarella or provol1, coarsely grated - fresh parsley, chopped - pepper - eggplant - red wine vinaigrette - marinara sauce;https://asimplepalate.com/wp-content/uploads/2019/09/eggplant-rollatini-2.jpg
101;Glazed Carrots;Cut carrots in strips or rounds. Boil with butter, sugar and water to almost covered. Cook to fork tender. Stir in orange marmalade.;carrots - butter - powdered sugar - water - spoonful of orange marmalade - salad oil - vinegar - package of dry spaghetti sauce mix;https://www.recipetineats.com/wp-content/uploads/2018/11/Brown-Sugar-Roast-Carrots_3.jpg
102;Green Beans Salerno;Combine salad oil, vinegar and spaghetti sauce mix. Pour over drained beans. Chill.;carrots - butter - powdered sugar - water - spoonful of orange marmalade - salad oil - vinegar - package of dry spaghetti sauce mix;https://i0.wp.com/jovinacooksitalian.com/wp-content/uploads/2014/11/jjnh37nc-recipe-db.jpg?ssl=1
